File                                     | Package              | Current         | Latest
----------------------------------------------------------------------------------------------------
./src-tauri/Cargo.toml                   | tauri-build          | 2               | 2.5.6
./src-tauri/Cargo.toml                   | strum                | 0.27.2          | 0.28.0
./src-tauri/Cargo.toml                   | tauri                | 2.9.5           | 2.10.3
./src-tauri/Cargo.toml                   | tauri-plugin-opener  | 2               | 2.5.3
./src-tauri/Cargo.toml                   | serde                | 1.0.228         | 1.0.228
./src-tauri/Cargo.toml                   | serde_json           | 1.0.145         | 1.0.149
./src-tauri/Cargo.toml                   | thiserror            | 2.0.17          | 2.0.18
./src-tauri/Cargo.toml                   | reqwest              | 0.12.23         | 0.13.2
./src-tauri/Cargo.toml                   | ts-rs                | 11.0.1          | 12.0.1
./src-tauri/Cargo.toml                   | chrono               | 0.4.42          | 0.4.44
./src-tauri/Cargo.toml                   | zip                  | 6.0.0           | 8.2.0
./src-tauri/Cargo.toml                   | tokio                | 1.47.1          | 1.50.0
./src-tauri/Cargo.toml                   | tar                  | 0.4.44          | 0.4.44
./src-tauri/Cargo.toml                   | flate2               | 1.1.4           | 1.1.9
./src-tauri/Cargo.toml                   | sha2                 | 0.10.9          | 0.11.0-rc.5
./src-tauri/Cargo.toml                   | regex                | 1.12.1          | 1.12.3
./src-tauri/Cargo.toml                   | dmg                  | 0.1.2           | 0.1.2
./src-tauri/Cargo.toml                   | unrar                | 0.5.8           | 0.5.8
./src-tauri/Cargo.toml                   | async-trait          | 0.1.89          | 0.1.89
./src-tauri/Cargo.toml                   | rusqlite             | 0.29.0          | 0.39.0
./src-tauri/Cargo.toml                   | r2d2                 | 0.8.10          | 0.8.10
./src-tauri/Cargo.toml                   | r2d2_sqlite          | 0.22.0          | 0.33.0
./src-tauri/Cargo.toml                   | uuid                 | 1.19.0          | 1.22.0
./src-tauri/Cargo.toml                   | posthog-rs           | 0.3.7           | 0.4.3
./src-tauri/Cargo.toml                   | url                  | 2.5.7           | 2.5.8
./src-tauri/Cargo.toml                   | urlencoding          | 2.1.3           | 2.1.3
./src-tauri/Cargo.toml                   | ttf-parser           | 0.25.1          | 0.25.1
./src-tauri/Cargo.toml                   | walkdir              | 2.5.0           | 2.5.0
./src-tauri/Cargo.toml                   | tauri-plugin-updater | 2.9.0           | 2.10.0
./cat-macros/Cargo.toml                  | syn                  | 2.0.39          | 2.0.117
./cat-macros/Cargo.toml                  | quote                | 1.0.33          | 1.0.45
./cat-macros/Cargo.toml                  | serde                | 1.0.193         | 1.0.228
